time,Ax,Angulo_graus,Pulsos,Vel_ms
187850,-0.0740,0.00,5255,0.000
187858,-0.0759,0.00,5255,0.000
187866,-0.0747,0.00,5255,0.000
187874,-0.0762,0.00,5255,0.000
187882,-0.0747,0.00,5255,0.000
187890,-0.0713,0.00,5255,0.000
187898,-0.0769,0.00,5255,0.000
187906,-0.0764,0.00,5255,0.000
187914,-0.0723,0.00,5255,0.000
187922,-0.0728,0.00,5255,0.000
187930,-0.0737,0.00,5255,0.000
187938,-0.0732,0.00,5255,0.000
187946,-0.0747,0.00,5255,0.000
187954,-0.0723,0.00,5255,0.000
187962,-0.0747,0.00,5255,0.000
187970,-0.0730,0.00,5255,0.000
187978,-0.0750,0.00,5255,0.000
187986,-0.0732,0.00,5255,0.000
187994,-0.0706,0.00,5255,0.000
188002,-0.0728,0.00,5255,0.000
188010,-0.0715,0.00,5255,0.000
188018,-0.0762,0.00,5255,0.000
188026,-0.0750,0.00,5255,0.000
188034,-0.0732,0.00,5255,0.000
188042,-0.0759,0.00,5255,0.000
188050,-0.0747,0.00,5255,0.000
188058,-0.0759,0.00,5255,0.000
188066,-0.0703,0.00,5255,0.000
188074,-0.0754,0.00,5255,0.000
188082,-0.0769,0.00,5255,0.000
188090,-0.0757,0.00,5255,0.000
188098,-0.0696,0.00,5255,0.000
188106,-0.0767,0.00,5255,0.000
188114,-0.0737,0.00,5255,0.000
188122,-0.0725,0.00,5255,0.000
188130,-0.0762,0.00,5255,0.000
188138,-0.0737,0.00,5255,0.000
188146,-0.0728,0.00,5255,0.000
188154,-0.0740,0.00,5255,0.000
188162,-0.0747,0.00,5255,0.000
188170,-0.0730,0.00,5255,0.000
188178,-0.0762,0.00,5255,0.000
188186,-0.0735,0.00,5255,0.000
188194,-0.0771,0.00,5255,0.000
188202,-0.0742,0.00,5255,0.000
188210,-0.0703,0.00,5255,0.000
188218,-0.0735,0.00,5255,0.000
188226,-0.0706,0.00,5255,0.000
188234,-0.0698,0.00,5255,0.000
188242,-0.0701,0.00,5255,0.000
188250,-0.0720,0.00,5255,0.000
188258,-0.0776,0.00,5255,0.000
188266,-0.0715,0.00,5255,0.000
188274,-0.0740,0.00,5255,0.000
188282,-0.0754,0.00,5255,0.000
188290,-0.0769,0.00,5255,0.000
188298,-0.0737,0.00,5255,0.000
188306,-0.0745,0.00,5255,0.000
188314,-0.0747,0.00,5255,0.000
188322,-0.0718,0.00,5255,0.000
188330,-0.0784,0.00,5254,0.000
188338,-0.0745,0.00,5254,0.000
188346,-0.0808,0.00,5254,0.000
188354,-0.0740,0.00,5254,0.000
188362,-0.0706,0.00,5254,0.000
188370,-0.0750,0.00,5254,-0.001
188378,-0.0740,0.00,5254,-0.001
188386,-0.0757,0.00,5254,-0.001
188394,-0.0759,0.00,5254,-0.001
188402,-0.0728,0.00,5253,-0.001
188410,-0.0715,0.00,5253,-0.001
188418,-0.0708,0.00,5253,-0.001
188426,-0.0769,0.00,5253,-0.001
188434,-0.0718,0.00,5253,-0.001
188442,-0.0742,0.00,5252,-0.001
188450,-0.0764,0.00,5252,-0.001
188458,-0.0759,0.00,5252,-0.001
188466,-0.0696,0.00,5252,-0.001
188474,-0.0750,0.00,5252,-0.002
188482,-0.0742,0.00,5252,-0.002
188490,-0.0745,0.00,5252,-0.002
188498,-0.0752,0.00,5252,-0.002
188506,-0.0750,0.00,5251,-0.002
188514,-0.0754,0.00,5251,-0.002
188522,-0.0740,0.00,5251,-0.002
188530,-0.0742,0.00,5251,-0.002
188538,-0.0723,0.00,5251,-0.002
188546,-0.0718,0.00,5251,-0.002
188554,-0.0730,0.00,5251,-0.002
188562,-0.0725,0.00,5251,-0.002
188570,-0.0791,0.00,5251,-0.002
188578,-0.0718,0.00,5251,-0.001
188586,-0.0764,0.00,5251,-0.001
188594,-0.0762,0.00,5251,-0.001
188602,-0.0735,0.00,5251,-0.001
188610,-0.0754,0.00,5250,-0.001
188618,-0.0747,0.00,5250,-0.001
188626,-0.0715,0.00,5250,-0.001
188634,-0.0745,0.00,5250,-0.001
188642,-0.0781,0.00,5250,-0.001
188650,-0.0732,0.00,5250,-0.001
188658,-0.0725,0.00,5250,-0.001
188666,-0.0747,0.00,5250,-0.001
188674,-0.0745,0.00,5250,-0.001
188682,-0.0754,0.00,5250,-0.001
188690,-0.0718,0.00,5250,-0.001
188698,-0.0747,0.00,5250,-0.001
188706,-0.0762,0.00,5250,-0.001
188714,-0.0732,0.00,5250,-0.001
188722,-0.0725,0.00,5250,-0.001
188730,-0.0767,0.00,5250,-0.001
188738,-0.0732,0.00,5250,-0.001
188746,-0.0708,0.00,5250,-0.001
188754,-0.0728,0.00,5250,-0.001
188762,-0.0725,0.00,5250,-0.001
188770,-0.0776,0.00,5250,-0.001
188778,-0.0779,0.00,5250,-0.001
188786,-0.0732,0.00,5250,0.000
188794,-0.0742,0.00,5250,0.000
188802,-0.0767,0.00,5250,0.000
